"Grav Apple",GRASS,PHYSICAL,80,100%,10-16,"Has a 100% chance to lower the target's Defense by 1 stage. Power is multiplied by 1.5 during Gravity's effect."
"Gravity",PSYCHIC,STATUS,n/a,—,5-8,"For 5 turns, the evasiveness of all active Pokemon is multiplied by 0.6. At the time of use, Bounce, Fly, Magnet Rise, Sky Drop, and Telekinesis end immediately for all active Pokemon. During the effect, Bounce, Fly, Flying Press, High Jump Kick, Jump Kick, Magnet Rise, Sky Drop, Splash, and Telekinesis are prevented from being used by all active Pokemon. Ground-type attacks, Spikes, Toxic Spikes, Sticky Web, and the Arena Trap Ability can affect Flying types or Pokemon with the Levitate Ability. Fails if this move is already in effect."
"Growl",NORMAL,STATUS,n/a,100%,40-64,"Lowers the target's Attack by 1 stage."
"Growth",NORMAL,STATUS,n/a,—,20-32,"Raises the user's Attack and Special Attack by 1 stage. If the weather is Sunny Day or Desolate Land, this move raises the user's Attack and Special Attack by 2 stages. If the user is holding Utility Umbrella, this move will only raise the user's Attack and Special Attack by 1 stage, even if the weather is Sunny Day or Desolate Land."
"Grudge",GHOST,STATUS,n/a,—,5-8,"Until the user's next turn, if an opposing Pokemon's attack knocks the user out, that move loses all its remaining PP."
"Guardian of Alola",FAIRY,SPECIAL,—,—,1,"[Z-Move] requiring Tapunium Z"
"Guard Split",PSYCHIC,STATUS,n/a,—,10-16,"The user and the target have their Defense and Special Defense stats set to be equal to the average of the user and the target's Defense and Special Defense stats, respectively, rounded down. Stat stage changes are unaffected."
"Guard Swap",PSYCHIC,STATUS,n/a,—,10-16,"The user swaps its Defense and Special Defense stat stage changes with the target."
"Guillotine",NORMAL,PHYSICAL,—,30%,5-8,"Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Sturdy Ability are immune."
"Gunk Shot",POISON,PHYSICAL,120,80%,5-8,"Has a 30% chance to poison the target."
"Gust",FLYING,SPECIAL,40,100%,35-56,"Power doubles if the target is using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop."
"Gyro Ball",STEEL,PHYSICAL,—,100%,5-8,"Power is equal to (25 * target's current Speed / user's current Speed) + 1, rounded down, but not more than 150. If the user's current Speed is 0, this move's power is 1."
"Hail",ICE,STATUS,n/a,—,10-16,"For 5 turns, the weather becomes Hail. At the end of each turn except the last, all active Pokemon lose 1/16 of their maximum HP, rounded down, unless they are an Ice type or have the Ice Body, Magic Guard, Overcoat, or Snow Cloak Abilities. Lasts for 8 turns if the user is holding Icy Rock. Fails if the current weather is Hail."
"Hammer Arm",FIGHTING,PHYSICAL,100,90%,10-16,"Lowers the user's Speed by 1 stage."
"Happy Hour",NORMAL,STATUS,n/a,—,30-48,"No competitive use."
"Harden",NORMAL,STATUS,n/a,—,30-48,"Raises the user's Defense by 1 stage."
"Hard Press",STEEL,PHYSICAL,—,100%,10-16,"Power is equal to 100 * (target's current HP / target's maximum HP), rounded half down, but not less than 1."
"Haze",ICE,STATUS,n/a,—,30-48,"Resets the stat stages of all active Pokemon to 0."
"Headbutt",NORMAL,PHYSICAL,70,100%,15-24,"Has a 30% chance to make the target flinch."
"Head Charge",NORMAL,PHYSICAL,120,100%,15-24,"If the target lost HP, the user takes recoil damage equal to 1/4 the HP lost by the target, rounded half up, but not less than 1 HP."
"Headlong Rush",GROUND,PHYSICAL,120,100%,5-8,"Lowers the user's Defense and Special Defense by 1 stage."
"Head Smash",ROCK,PHYSICAL,150,80%,5-8,"If the target lost HP, the user takes recoil damage equal to 1/2 the HP lost by the target, rounded half up, but not less than 1 HP."
"Heal Bell",NORMAL,STATUS,n/a,—,5-8,"Every Pokemon in the user's party is cured of its non-volatile status condition. Active Pokemon with the Soundproof Ability are not cured, unless they are the user."
"Heal Block",PSYCHIC,STATUS,n/a,100%,15-24,"For 5 turns, the target is prevented from restoring any HP as long as it remains active. During the effect, healing and draining moves are unusable, and Abilities and items that grant healing will not heal the user. If an affected Pokemon uses Baton Pass, the replacement will remain unable to restore its HP. Pain Split and the Regenerator Ability are unaffected."
"Healing Wish",PSYCHIC,STATUS,n/a,—,10-16,"The user faints, and if the Pokemon brought out to replace it does not have full HP or has a non-volatile status condition, its HP is fully restored along with having any non-volatile status condition cured. The replacement is sent out at the end of the turn, and the healing happens before hazards take effect. This effect continues until a Pokemon that meets either of these conditions switches in at the user's position or gets swapped into the position with Ally Switch. Fails if the user is the last unfainted Pokemon in its party."
"Heal Order",BUG,STATUS,n/a,—,10-16,"The user restores 1/2 of its maximum HP, rounded half up."
"Heal Pulse",PSYCHIC,STATUS,n/a,—,10-16,"The target restores 1/2 of its maximum HP, rounded half up. If the user has the Mega Launcher Ability, the target instead restores 3/4 of its maximum HP, rounded half down."
"Heart Stamp",PSYCHIC,PHYSICAL,60,100%,25-40,"Has a 30% chance to make the target flinch."
"Heart Swap",PSYCHIC,STATUS,n/a,—,10-16,"The user swaps all its stat stage changes with the target."
"Heat Crash",FIRE,PHYSICAL,—,100%,10-16,"The power of this move depends on (user's weight / target's weight), rounded down. Power is equal to 120 if the result is 5 or more, 100 if 4, 80 if 3, 60 if 2, and 40 if 1 or less. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"Heat Wave",FIRE,SPECIAL,95,90%,10-16,"Has a 10% chance to burn the target."
"Heavy Slam",STEEL,PHYSICAL,—,100%,10-16,"The power of this move depends on (user's weight / target's weight), rounded down. Power is equal to 120 if the result is 5 or more, 100 if 4, 80 if 3, 60 if 2, and 40 if 1 or less. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"Helping Hand",NORMAL,STATUS,n/a,—,20-32,"Nearly always moves first (priority +5)."
"Hex",GHOST,SPECIAL,65,100%,10-16,"Power doubles if the target has a non-volatile status condition."
"Hidden Power",NORMAL,SPECIAL,60,100%,15-24,"This move's type depends on the user's individual values (IVs), and can be any type but Fairy and Normal."
"Hidden Power Bug",BUG,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Dark",DARK,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Dragon",DRAGON,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Electric",ELECTRIC,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Fighting",FIGHTING,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Fire",FIRE,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Flying",FLYING,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Ghost",GHOST,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Grass",GRASS,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Ground",GROUND,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Ice",ICE,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Poison",POISON,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Psychic",PSYCHIC,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Rock",ROCK,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Steel",STEEL,SPECIAL,60,100%,15-24,"undefined"
"Hidden Power Water",WATER,SPECIAL,60,100%,15-24,"undefined"
"High Horsepower",GROUND,PHYSICAL,95,95%,10-16,"No additional effect."
"High Jump Kick",FIGHTING,PHYSICAL,130,90%,10-16,"If this attack is not successful, the user loses half of its maximum HP, rounded down, as crash damage. Pokemon with the Magic Guard Ability are unaffected by crash damage."
"Hold Back",NORMAL,PHYSICAL,40,100%,40-64,"Leaves the target with at least 1 HP."
"Hold Hands",NORMAL,STATUS,n/a,—,40-64,"No competitive use. Fails if there is no ally adjacent to the user."
"Hone Claws",DARK,STATUS,n/a,—,15-24,"Raises the user's Attack and accuracy by 1 stage."
"Horn Attack",NORMAL,PHYSICAL,65,100%,25-40,"No additional effect."
"Horn Drill",NORMAL,PHYSICAL,—,30%,5-8,"Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Sturdy Ability are immune."
"Horn Leech",GRASS,PHYSICAL,75,100%,10-16,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Howl",NORMAL,STATUS,n/a,—,40-64,"Raises the Attack of the user and all allies 1 stage."
"Hurricane",FLYING,SPECIAL,110,70%,10-16,"Has a 30% chance to confuse the target. This move can hit a target using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop. If the weather is Primordial Sea or Rain Dance, this move does not check accuracy. If the weather is Desolate Land or Sunny Day, this move's accuracy is 50%. If this move is used against a Pokemon holding Utility Umbrella, this move's accuracy remains at 70%."
"Hydro Cannon",WATER,SPECIAL,150,90%,5-8,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Hydro Pump",WATER,SPECIAL,110,80%,5-8,"No additional effect."
"Hydro Steam",WATER,SPECIAL,80,100%,15-24,"If the current weather is Sunny Day and the user is not holding Utility Umbrella, this move's damage is multiplied by 1.5 instead of halved for being Water type."
"Hydro Vortex",WATER,PHYSICAL,1,—,1,"[Z-Move] requiring Waterium Z"
"Hyper Beam",NORMAL,SPECIAL,150,90%,5-8,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Hyper Drill",NORMAL,PHYSICAL,100,100%,5-8,"Bypasses protection without breaking it."
"Hyper Fang",NORMAL,PHYSICAL,80,90%,15-24,"Has a 10% chance to make the target flinch."
"Hyperspace Fury",DARK,PHYSICAL,100,—,5-8,"Lowers the user's Defense by 1 stage. This move cannot be used successfully unless the user's current form, while considering Transform, is Hoopa Unbound. If this move is successful, it breaks through the target's Baneful Bunker, Detect, King's Shield, Protect, or Spiky Shield for this turn, allowing other Pokemon to attack the target normally. If the target's side is protected by Crafty Shield, Mat Block, Quick Guard, or Wide Guard, that protection is also broken for this turn and other Pokemon may attack the target's side normally."
"Hyperspace Hole",PSYCHIC,SPECIAL,80,—,5-8,"If this move is successful, it breaks through the target's Baneful Bunker, Detect, King's Shield, Protect, or Spiky Shield for this turn, allowing other Pokemon to attack the target normally. If the target's side is protected by Crafty Shield, Mat Block, Quick Guard, or Wide Guard, that protection is also broken for this turn and other Pokemon may attack the target's side normally."
"Hyper Voice",NORMAL,SPECIAL,90,100%,10-16,"No additional effect."
"Hypnosis",PSYCHIC,STATUS,n/a,60%,20-32,"Causes the target to fall asleep."
"Ice Ball",ICE,PHYSICAL,30,90%,20-32,"If this move is successful, the user is locked into this move and cannot make another move until it misses, 5 turns have passed, or the attack cannot be used. Power doubles with each successful hit of this move and doubles again if Defense Curl was used previously by the user. If this move is called by Sleep Talk, the move is used for one turn."
"Ice Beam",ICE,SPECIAL,90,100%,10-16,"Has a 10% chance to freeze the target."
"Ice Burn",ICE,SPECIAL,140,90%,5-8,"Has a 30% chance to burn the target. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn."
"Ice Fang",ICE,PHYSICAL,65,95%,15-24,"Has a 10% chance to freeze the target and a 10% chance to make it flinch."
"Ice Hammer",ICE,PHYSICAL,100,90%,10-16,"Lowers the user's Speed by 1 stage."
"Ice Punch",ICE,PHYSICAL,75,100%,15-24,"Has a 10% chance to freeze the target."
"Ice Shard",ICE,PHYSICAL,40,100%,30-48,"Usually moves first (priority +1)."
"Ice Spinner",ICE,PHYSICAL,80,100%,15-24,"Ends the effects of Electric Terrain, Grassy Terrain, Misty Terrain, and Psychic Terrain."
"Icicle Crash",ICE,PHYSICAL,85,90%,10-16,"Has a 30% chance to make the target flinch."
"Icicle Spear",ICE,PHYSICAL,25,100%,30-48,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Icy Wind",ICE,SPECIAL,55,95%,15-24,"Has a 100% chance to lower the target's Speed by 1 stage."
"Imprison",PSYCHIC,STATUS,n/a,—,10-16,"The user prevents all opposing Pokemon from using any moves that the user also knows as long as the user remains active."
"Incinerate",FIRE,SPECIAL,60,100%,15-24,"The target loses its held item if it is a Berry or a Gem. This move cannot cause Pokemon with the Sticky Hold Ability to lose their held item. Items lost to this move cannot be regained with Recycle or the Harvest Ability."
"Infernal Parade",GHOST,SPECIAL,60,100%,15-24,"Has a 30% chance to burn the target. Power doubles if the target has a non-volatile status condition."
"Inferno",FIRE,SPECIAL,100,50%,5-8,"Has a 100% chance to burn the target."
"Inferno Overdrive",FIRE,PHYSICAL,1,—,1,"[Z-Move] requiring Firium Z"
"Infestation",BUG,SPECIAL,20,100%,20-32,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"Ingrain",GRASS,STATUS,n/a,—,20-32,"The user has 1/16 of its maximum HP restored at the end of each turn, but it is prevented from switching out and other Pokemon cannot force the user to switch out. The user can still switch out if it uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. If the user leaves the field using Baton Pass, the replacement will remain trapped and still receive the healing effect. During the effect, the user can be hit normally by Ground-type attacks and be affected by Spikes, Toxic Spikes, and Sticky Web, even if the user is a Flying type or has the Levitate Ability."
"Instruct",PSYCHIC,STATUS,n/a,—,15-24,"The target immediately uses its last used move. Fails if the target has not made a move, if the move has 0 PP, if the target is preparing to use Beak Blast, Focus Punch, or Shell Trap, or if the move is Assist, Beak Blast, Belch, Bide, Blazing Torque, Celebrate, Chatter, Combat Torque, Copycat, Dynamax Cannon, Focus Punch, Hold Hands, Ice Ball, Instruct, King's Shield, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Obstruct, Outrage, Petal Dance, Rollout, Shell Trap, Sketch, Sleep Talk, Struggle, Thrash, Transform, Uproar, Wicked Torque, any two-turn move, or any recharge move."
"Ion Deluge",ELECTRIC,STATUS,n/a,—,25-40,"Usually moves first (priority +1)."
"Iron Defense",STEEL,STATUS,n/a,—,15-24,"Raises the user's Defense by 2 stages."
"Iron Head",STEEL,PHYSICAL,80,100%,15-24,"Has a 30% chance to make the target flinch."
"Iron Tail",STEEL,PHYSICAL,100,75%,15-24,"Has a 30% chance to lower the target's Defense by 1 stage."
"Ivy Cudgel",GRASS,PHYSICAL,100,100%,10-16,"Has a higher chance for a critical hit. If the user is an Ogerpon holding a mask, this move's type changes to match. Water type for Wellspring Mask, Fire type for Hearthflame Mask, and Rock type for Cornerstone Mask."
"Jaw Lock",DARK,PHYSICAL,80,100%,10-16,"Prevents the user and the target from switching out. The user and the target can still switch out if either of them is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field."
"Jet Punch",WATER,PHYSICAL,60,100%,15-24,"Usually moves first (priority +1)."
"Judgment",NORMAL,SPECIAL,100,100%,10-16,"This move's type depends on the user's held Plate."
"Jump Kick",FIGHTING,PHYSICAL,100,95%,10-16,"If this attack is not successful, the user loses half of its maximum HP, rounded down, as crash damage. Pokemon with the Magic Guard Ability are unaffected by crash damage."
"Jungle Healing",GRASS,STATUS,n/a,—,10-16,"Each Pokemon on the user's side restores 1/4 of its maximum HP, rounded half up, and has its status condition cured."
"Karate Chop",FIGHTING,PHYSICAL,50,100%,25-40,"Has a higher chance for a critical hit."
"Kinesis",PSYCHIC,STATUS,n/a,80%,15-24,"Lowers the target's accuracy by 1 stage."
"King's Shield",STEEL,STATUS,n/a,—,10-16,"Nearly always moves first (priority +4)."
"Knock Off",DARK,PHYSICAL,65,100%,20-32,"If the target is holding an item that can be removed from it, ignoring the Sticky Hold Ability, this move's power is multiplied by 1.5. If the user has not fainted, the target loses its held item. This move cannot cause Pokemon with the Sticky Hold Ability to lose their held item or cause a Kyogre, a Groudon, a Giratina, an Arceus, a Genesect, a Silvally, a Zacian, or a Zamazenta to lose their Blue Orb, Red Orb, Griseous Orb, Plate, Drive, Memory, Rusted Sword, or Rusted Shield respectively. Items lost to this move cannot be regained with Recycle or the Harvest Ability."
"Kowtow Cleave",DARK,PHYSICAL,85,—,10-16,"This move does not check accuracy."
"Land's Wrath",GROUND,PHYSICAL,90,100%,10-16,"No additional effect."
"Laser Focus",NORMAL,STATUS,n/a,—,30-48,"Until the end of the next turn, the user's attacks will be critical hits."
"Lash Out",DARK,PHYSICAL,75,100%,5-8,"Power doubles if the user had a stat stage lowered this turn."
"Last Resort",NORMAL,PHYSICAL,140,100%,5-8,"This move fails unless the user knows this move and at least one other move, and has used all the other moves it knows at least once each since it became active or Transformed."
"Last Respects",GHOST,PHYSICAL,50,100%,10-16,"Power is equal to 50+(X*50), where X is the total number of times any Pokemon has fainted on the user's side, and X cannot be greater than 100."
"Lava Plume",FIRE,SPECIAL,80,100%,15-24,"Has a 30% chance to burn the target."
"Leafage",GRASS,PHYSICAL,40,100%,40-64,"No additional effect."
"Leaf Blade",GRASS,PHYSICAL,90,100%,15-24,"Has a higher chance for a critical hit."
"Leaf Storm",GRASS,SPECIAL,130,90%,5-8,"Lowers the user's Special Attack by 2 stages."
"Leaf Tornado",GRASS,SPECIAL,65,90%,10-16,"Has a 50% chance to lower the target's accuracy by 1 stage."
"Leech Life",BUG,PHYSICAL,80,100%,10-16,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Leech Seed",GRASS,STATUS,n/a,90%,10-16,"The Pokemon at the user's position steals 1/8 of the target's maximum HP, rounded down, at the end of each turn. If Big Root is held by the recipient, the HP recovered is 1.3x normal, rounded half down. If the target uses Baton Pass, the replacement will continue being leeched. If the target switches out or uses Mortal Spin or Rapid Spin successfully, the effect ends. Grass-type Pokemon are immune to this move on use, but not its effect."
"Leer",NORMAL,STATUS,n/a,100%,30-48,"Lowers the target's Defense by 1 stage."
"Let's Snuggle Forever",FAIRY,PHYSICAL,190,—,1,"[Z-Move] requiring Mimikium Z"
"Lick",GHOST,PHYSICAL,30,100%,30-48,"Has a 30% chance to paralyze the target."
"Life Dew",WATER,STATUS,n/a,—,10-16,"Each Pokemon on the user's side restores 1/4 of its maximum HP, rounded half up."
"Light of Ruin",FAIRY,SPECIAL,140,90%,5-8,"If the target lost HP, the user takes recoil damage equal to 1/2 the HP lost by the target, rounded half up, but not less than 1 HP."
"Light Screen",PSYCHIC,STATUS,n/a,—,30-48,"For 5 turns, the user and its party members take 0.5x damage from special attacks, or 0.66x damage if in a Double Battle. Damage is not reduced further with Aurora Veil. Critical hits ignore this effect. It is removed from the user's side if the user or an ally is successfully hit by Brick Break, Psychic Fangs, or Defog. Lasts for 8 turns if the user is holding Light Clay. Fails if the effect is already active on the user's side."
"Light That Burns the Sky",PSYCHIC,SPECIAL,200,—,1,"[Z-Move] requiring Ultranecrozium Z"
"Liquidation",WATER,PHYSICAL,85,100%,10-16,"Has a 20% chance to lower the target's Defense by 1 stage."
"Lock-On",NORMAL,STATUS,n/a,—,5-8,"Until the end of the next turn, the target cannot avoid the user's moves, even if the target is in the middle of a two-turn move. The effect ends if either the user or the target leaves the field. Fails if this effect is active for the user."
"Lovely Kiss",NORMAL,STATUS,n/a,75%,10-16,"Causes the target to fall asleep."
"Low Kick",FIGHTING,PHYSICAL,—,100%,20-32,"This move's power is 20 if the target weighs less than 10 kg, 40 if less than 25 kg, 60 if less than 50 kg, 80 if less than 100 kg, 100 if less than 200 kg, and 120 if greater than or equal to 200 kg."
"Low Sweep",FIGHTING,PHYSICAL,65,100%,20-32,"Has a 100% chance to lower the target's Speed by 1 stage."
"Lucky Chant",NORMAL,STATUS,n/a,—,30-48,"For 5 turns, the user and its party members cannot be struck by a critical hit. Fails if the effect is already active on the user's side."
"Lumina Crash",PSYCHIC,SPECIAL,80,100%,10-16,"Has a 100% chance to lower the target's Special Defense by 2 stages."
"Lunar Blessing",PSYCHIC,STATUS,n/a,—,5-8,"Each Pokemon on the user's side restores 1/4 of its maximum HP, rounded half up, and has its status condition cured."
"Lunar Dance",PSYCHIC,STATUS,n/a,—,10-16,"The user faints, and if the Pokemon brought out to replace it does not have full HP or PP, or has a non-volatile status condition, its HP and PP are fully restored along with having any non-volatile status condition cured. The replacement is sent out at the end of the turn, and the healing happens before hazards take effect. This effect continues until a Pokemon that meets any of these conditions switches in at the user's position or gets swapped into the position with Ally Switch. Fails if the user is the last unfainted Pokemon in its party."
"Lunge",BUG,PHYSICAL,80,100%,15-24,"Has a 100% chance to lower the target's Attack by 1 stage."
"Luster Purge",PSYCHIC,SPECIAL,95,100%,5-8,"Has a 50% chance to lower the target's Special Defense by 1 stage."
"Mach Punch",FIGHTING,PHYSICAL,40,100%,30-48,"Usually moves first (priority +1)."
"Magical Leaf",GRASS,SPECIAL,60,—,20-32,"This move does not check accuracy."
"Magical Torque",FAIRY,PHYSICAL,100,100%,10-16,"Has a 30% chance to confuse the target."
"Magic Coat",PSYCHIC,STATUS,n/a,—,15-24,"Nearly always moves first (priority +4)."
"Magic Powder",PSYCHIC,STATUS,n/a,100%,20-32,"Causes the target to become a Psychic type. Fails if the target is an Arceus or a Silvally, if the target is already purely Psychic type, or if the target is Terastallized."
"Magic Room",PSYCHIC,STATUS,n/a,—,10-16,"For 5 turns, the held items of all active Pokemon have no effect. An item's effect of causing forme changes is unaffected, but any other effects from such items are negated. During the effect, Fling and Natural Gift are prevented from being used by all active Pokemon. If this move is used during the effect, the effect ends."
"Magma Storm",FIRE,SPECIAL,100,75%,5-8,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"Magnet Bomb",STEEL,PHYSICAL,60,—,20-32,"This move does not check accuracy."
"Magnetic Flux",ELECTRIC,STATUS,n/a,—,20-32,"Raises the Defense and Special Defense of Pokemon on the user's side with the Plus or Minus Abilities by 1 stage."
"Magnet Rise",ELECTRIC,STATUS,n/a,—,10-16,"For 5 turns, the user is immune to Ground-type attacks and the effects of Spikes, Toxic Spikes, Sticky Web, and the Arena Trap Ability as long as it remains active. If the user uses Baton Pass, the replacement will gain the effect. Ingrain, Smack Down, Thousand Arrows, and Iron Ball override this move if the user is under any of their effects. Fails if the user is already under this effect or the effects of Ingrain, Smack Down, or Thousand Arrows."
"Magnitude",GROUND,PHYSICAL,—,100%,30-48,"The power of this move varies; 5% chances for 10 and 150 power, 10% chances for 30 and 110 power, 20% chances for 50 and 90 power, and 30% chance for 70 power. Damage doubles if the target is using Dig."
"Make It Rain",STEEL,SPECIAL,120,100%,5-8,"Lowers the user's Special Attack by 1 stage."
"Malicious Moonsault",DARK,PHYSICAL,180,—,1,"[Z-Move] requiring Incinium Z"
"Malignant Chain",POISON,SPECIAL,100,100%,5-8,"Has a 50% chance to badly poison the target."
"Mat Block",FIGHTING,STATUS,n/a,—,10-16,"The user and its party members are protected from damaging attacks made by other Pokemon, including allies, during this turn. Fails unless it is the user's first turn on the field, if the user moves last this turn, or if this move is already in effect for the user's side."
"Matcha Gotcha",GRASS,SPECIAL,80,90%,15-24,"Has a 20% chance to burn the target. The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down. The target thaws out if it is frozen."
"Max Airstream",FLYING,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Darkness",DARK,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Flare",FIRE,PHYSICAL,100,—,10-16,"[Max Move]"
"Max Flutterby",BUG,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Geyser",WATER,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Guard",NORMAL,STATUS,n/a,—,10-16,"[Max Move]"
"Max Hailstorm",ICE,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Knuckle",FIGHTING,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Lightning",ELECTRIC,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Mindstorm",PSYCHIC,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Ooze",POISON,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Overgrowth",GRASS,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Phantasm",GHOST,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Quake",GROUND,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Rockfall",ROCK,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Starfall",FAIRY,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Steelspike",STEEL,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Strike",NORMAL,PHYSICAL,10,—,10-16,"[Max Move]"
"Max Wyrmwind",DRAGON,PHYSICAL,10,—,10-16,"[Max Move]"
"Mean Look",NORMAL,STATUS,n/a,—,5-8,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field."
"Meditate",PSYCHIC,STATUS,n/a,—,40-64,"Raises the user's Attack by 1 stage."
"Me First",NORMAL,STATUS,n/a,—,20-32,"The user uses the move the target chose for use this turn against it, if possible, with its power multiplied by 1.5. The move must be a damaging move other than Beak Blast, Belch, Blazing Torque, Combat Torque, Comeuppance, Counter, Covet, Focus Punch, Magical Torque, Me First, Metal Burst, Mirror Coat, Noxious Torque, Shell Trap, Struggle, Thief, or Wicked Torque. Fails if the target moves before the user. Ignores the target's substitute for the purpose of copying the move."
"Mega Drain",GRASS,SPECIAL,40,100%,15-24,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Megahorn",BUG,PHYSICAL,120,85%,10-16,"No additional effect."
"Mega Kick",NORMAL,PHYSICAL,120,75%,5-8,"No additional effect."
"Mega Punch",NORMAL,PHYSICAL,80,85%,20-32,"No additional effect."
"Memento",DARK,STATUS,n/a,100%,10-16,"Lowers the target's Attack and Special Attack by 2 stages. The user faints unless this move misses or there is no target. Fails entirely if this move hits a substitute, but does not fail if the target's stats cannot be changed."
"Menacing Moonraze Maelstrom",GHOST,SPECIAL,200,—,1,"[Z-Move] requiring Lunalium Z"
"Metal Burst",STEEL,PHYSICAL,—,100%,10-16,"Deals damage to the last opposing Pokemon to hit the user with a physical or special attack this turn equal to 1.5 times the HP lost by the user from that attack, rounded down. If the user did not lose HP from that attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's physical or special attack this turn."
"Metal Claw",STEEL,PHYSICAL,50,95%,35-56,"Has a 10% chance to raise the user's Attack by 1 stage."
"Metal Sound",STEEL,STATUS,n/a,85%,40-64,"Lowers the target's Special Defense by 2 stages."
"Meteor Assault",FIGHTING,PHYSICAL,150,100%,5-8,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Meteor Beam",ROCK,SPECIAL,120,90%,10-16,"This attack charges on the first turn and executes on the second. Raises the user's Special Attack by 1 stage on the first turn. If the user is holding a Power Herb, the move completes in one turn."
